Frame,PartitionTime (ms)
1,0.517
1,0.041
1,0.030
1,0.030
1,0.031
1,0.026
1,0.024
1,0.021
1,0.024
1,0.025
1,0.033
1,0.024
1,0.034
1,0.022
1,0.033
1,0.036
1,0.020
1,0.024
1,0.024
1,0.019
1,0.021
1,0.020
1,0.021
2,0.034
2,0.026
2,0.023
2,0.027
2,0.020
2,0.020
2,0.024
2,0.020
2,0.026
2,0.027
2,0.020
2,0.025
2,0.020
2,0.021
2,0.031
2,0.021
2,0.028
2,0.040
2,0.021
2,0.024
2,0.020
2,0.043
2,0.026
3,0.041
3,0.038
3,0.032
3,0.034
3,0.023
3,0.027
3,0.020
3,0.020
3,0.025
3,0.020
3,0.022
3,0.022
3,0.024
3,0.020
3,0.032
3,0.021
3,0.025
3,0.026
3,0.021
3,0.042
3,0.021
3,0.021
3,0.030
4,0.028
4,0.031
4,0.045
4,0.022
4,0.021
4,0.031
4,0.020
4,0.025
4,0.033
4,0.053
4,0.029
4,0.023
4,0.020
4,0.027
4,0.021
4,0.030
4,0.029
4,0.025
4,0.023
4,0.029
4,0.029
4,0.021
4,0.034
5,0.031
5,0.036
5,0.026
5,0.027
5,0.020
5,0.020
5,0.024
5,0.020
5,0.023
5,0.036
5,0.023
5,0.025
5,0.019
5,0.020
5,0.025
5,0.022
5,0.024
5,0.024
5,0.021
5,0.026
5,0.020
5,0.020
5,0.032
6,0.071
6,0.037
6,0.024
6,0.025
6,0.028
6,0.023
6,0.021
6,0.026
6,0.020
6,0.028
6,0.021
6,0.021
6,0.026
6,0.020
6,0.026
6,0.021
6,0.021
6,0.021
6,0.037
6,0.027
6,0.024
6,0.029
6,0.026
7,0.051
7,0.096
7,0.036
7,0.061
7,0.026
7,0.032
7,0.036
7,0.027
7,0.025
7,0.028
7,0.044
7,0.023
7,0.029
7,0.031
7,0.058
7,0.028
7,0.031
7,0.024
7,0.027
7,0.036
7,0.053
7,0.024
7,0.037
8,0.050
8,0.040
8,0.027
8,0.024
8,0.056
8,0.031
8,0.022
8,0.026
8,0.021
8,0.032
8,0.025
8,0.022
8,0.029
8,0.020
8,0.020
8,0.026
8,0.023
8,0.030
8,0.034
8,0.027
8,0.035
8,0.031
8,0.025
9,0.031
9,0.029
9,0.020
9,0.024
9,0.019
9,0.020
9,0.027
9,0.020
9,0.032
9,0.041
9,0.022
9,0.053
9,0.021
9,0.027
9,0.022
9,0.026
9,0.029
9,0.023
9,0.033
9,0.022
9,0.029
9,0.020
9,0.020
10,0.051
10,0.031
10,0.028
10,0.034
10,0.026
10,0.028
10,0.022
10,0.030
10,0.023
10,0.029
10,0.039
10,0.026
10,0.022
10,0.028
10,0.022
10,0.029
10,0.021
10,0.061
10,0.037
10,0.046
10,0.037
10,0.065
10,0.040
11,0.044
11,0.043
11,0.033
11,0.021
11,0.020
11,0.027
11,0.020
11,0.029
11,0.027
11,0.024
11,0.022
11,0.026
11,0.021
11,0.021
11,0.027
11,0.021
11,0.034
11,0.032
11,0.036
11,0.031
11,0.025
11,0.028
11,0.023
12,0.039
12,0.039
12,0.038
12,0.034
12,0.030
12,0.027
12,0.033
12,0.028
12,0.042
12,0.029
12,0.026
12,0.024
12,0.026
12,0.033
12,0.031
12,0.031
12,0.031
12,0.026
12,0.031
12,0.022
12,0.043
12,0.027
12,0.021
13,0.044
13,0.029
13,0.028
13,0.024
13,0.026
13,0.028
13,0.027
13,0.038
13,0.023
13,0.033
13,0.024
13,0.025
13,0.025
13,0.022
13,0.022
13,0.027
13,0.022
13,0.023
13,0.021
13,0.021
13,0.027
13,0.019
13,0.024
14,0.039
14,0.042
14,0.023
14,0.021
14,0.024
14,0.021
14,0.021
14,0.022
14,0.020
14,0.033
14,0.034
14,0.027
14,0.027
14,0.023
14,0.028
14,0.021
14,0.021
14,0.026
14,0.021
14,0.030
14,0.033
14,0.023
14,0.033
15,0.029
15,0.033
15,0.026
15,0.026
15,0.028
15,0.041
15,0.035
15,0.027
15,0.021
15,0.025
15,0.046
15,0.021
15,0.028
15,0.020
15,0.020
15,0.027
15,0.020
15,0.024
15,0.025
15,0.021
15,0.027
15,0.021
15,0.021
16,0.055
16,0.035
16,0.026
16,0.024
16,0.024
16,0.025
16,0.024
16,0.026
16,0.045
16,0.024
16,0.020
16,0.023
16,0.021
16,0.025
16,0.024
16,0.026
16,0.029
16,0.022
16,0.028
16,0.027
16,0.027
16,0.028
16,0.025
17,0.038
17,0.033
17,0.030
17,0.020
17,0.020
17,0.027
17,0.024
17,0.028
17,0.025
17,0.022
17,0.033
17,0.020
17,0.021
17,0.028
17,0.022
17,0.027
17,0.020
17,0.021
17,0.032
17,0.026
17,0.030
17,0.025
17,0.024
18,0.033
18,0.030
18,0.028
18,0.041
18,0.024
18,0.025
18,0.020
18,0.020
18,0.025
18,0.020
18,0.025
18,0.025
18,0.024
18,0.023
18,0.024
18,0.021
18,0.021
18,0.026
18,0.019
18,0.021
18,0.021
18,0.023
18,0.022
19,0.076
19,0.050
19,0.036
19,0.034
19,0.047
19,0.031
19,0.031
19,0.037
19,0.031
19,0.034
19,0.031
19,0.036
19,0.029
19,0.024
19,0.023
19,0.022
19,0.021
19,0.021
19,0.021
19,0.023
19,0.019
19,0.022
19,0.022
20,0.062
20,0.055
20,0.028
20,0.020
20,0.025
20,0.026
20,0.025
20,0.024
20,0.026
20,0.025
20,0.020
20,0.038
20,0.024
20,0.019
20,0.024
20,0.041
20,0.019
20,0.027
20,0.020
20,0.024
20,0.024
20,0.020
20,0.025
21,0.035
21,0.026
21,0.033
21,0.032
21,0.025
21,0.023
21,0.032
21,0.021
21,0.021
21,0.020
21,0.024
21,0.031
21,0.025
21,0.024
21,0.022
21,0.023
21,0.021
21,0.025
21,0.019
21,0.020
21,0.028
21,0.020
21,0.024
22,0.032
22,0.033
22,0.026
22,0.032
22,0.021
22,0.022
22,0.022
22,0.022
22,0.024
22,0.024
22,0.021
22,0.024
22,0.020
22,0.021
22,0.027
22,0.023
22,0.023
22,0.023
22,0.021
22,0.024
22,0.019
22,0.020
22,0.026
23,0.025
23,0.025
23,0.045
23,0.026
23,0.019
23,0.023
23,0.055
23,0.043
23,0.081
23,0.049
23,0.037
23,0.024
23,0.024
23,0.027
23,0.037
23,0.024
23,0.021
23,0.021
23,0.021
23,0.026
23,0.023
23,0.026
23,0.020
24,0.034
24,0.031
24,0.042
24,0.030
24,0.035
24,0.033
24,0.026
24,0.026
24,0.023
24,0.023
24,0.023
24,0.022
24,0.021
24,0.031
24,0.027
24,0.020
24,0.029
24,0.020
24,0.023
24,0.023
24,0.022
24,0.023
24,0.041
25,0.070
25,0.032
25,0.031
25,0.022
25,0.020
25,0.025
25,0.020
25,0.023
25,0.023
25,0.021
25,0.044
25,0.024
25,0.026
25,0.025
25,0.020
25,0.027
25,0.020
25,0.022
25,0.022
25,0.022
25,0.019
25,0.021
25,0.026
26,0.057
26,0.036
26,0.027
26,0.023
26,0.022
26,0.025
26,0.038
26,0.025
26,0.040
26,0.038
26,0.041
26,0.022
26,0.024
26,0.030
26,0.026
26,0.026
26,0.026
26,0.039
26,0.042
26,0.030
26,0.025
26,0.024
26,0.027
27,0.076
27,0.057
